--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Tue Nov 22 11:33:15 2022
--------------------------------------------------------------------------------
{'name': 'backgroundTaskHost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 1772, 'vms': 22.71484375}
{'name': 'RuntimeBroker.exe', 'username': 'MSI\\Onkar Ople', 'pid': 2032, 'vms': 2.35546875}
{'name': 'sihost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 2244, 'vms': 6.6484375}
{'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'pid': 2328, 'vms': 8.34375}
{'name': 'msedgewebview2.exe', 'username': 'MSI\\Onkar Ople', 'pid': 2520, 'vms': 71.90625}
{'name': 'conhost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 2844, 'vms': 5.41796875}
{'name': 'utweb.exe', 'username': 'MSI\\Onkar Ople', 'pid': 3280, 'vms': 10.86328125}
{'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'pid': 3292, 'vms': 338.13671875}
{'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 3444, 'vms': 5.82421875}
{'name': 'IGCC.exe', 'username': 'MSI\\Onkar Ople', 'pid': 4688, 'vms': 18.12890625}
{'name': 'Nahimic3.exe', 'username': 'MSI\\Onkar Ople', 'pid': 4768, 'vms': 22.32421875}
{'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'pid': 5572, 'vms': 31.11328125}
{'name': 'UserOOBEBroker.exe', 'username': 'MSI\\Onkar Ople', 'pid': 6556, 'vms': 2.07421875}
{'name': 'ApplicationFrameHost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 7032, 'vms': 13.60546875}
{'name': 'NVIDIA Share.exe', 'username': 'MSI\\Onkar Ople', 'pid': 8248, 'vms': 47.359375}
{'name': 'NVIDIA Web Helper.exe', 'username': 'MSI\\Onkar Ople', 'pid': 8508, 'vms': 32.765625}
{'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'pid': 8528, 'vms': 11.89453125}
{'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'pid': 8552, 'vms': 175.859375}
{'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'pid': 8588, 'vms': 42.76953125}
{'name': 'AnyDesk.exe', 'username': 'MSI\\Onkar Ople', 'pid': 8652, 'vms': 20.77734375}
{'name': 'RtkAudUService64.exe', 'username': 'MSI\\Onkar Ople', 'pid': 9064, 'vms': 4.9453125}
{'name': 'IGCCTray.exe', 'username': 'MSI\\Onkar Ople', 'pid': 9068, 'vms': 47.6796875}
{'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'pid': 9312, 'vms': 77.375}
{'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'pid': 9448, 'vms': 38.8359375}
{'name': 'Amazon Music Helper.exe', 'username': 'MSI\\Onkar Ople', 'pid': 9716, 'vms': 2.0703125}
{'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'pid': 10040, 'vms': 146.734375}
{'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'pid': 10044, 'vms': 1.97265625}
{'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'pid': 10060, 'vms': 7.69140625}
{'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'pid': 10484, 'vms': 20.546875}
